County,State,1940,1945,% returned,Latitude,Longitude
Alameda,CA,5167,2703,52.3,37.7798721,-122.2821855
Amador,CA,2,0,0,37.6679098,-121.8739141
Butte,CA,216,107,49.5,46.0038232,-112.5347775
Calaveras,CA,6,0,0,36.1597065,-95.958341
Colusa,CA,155,48,31,39.2143343,-122.0094175
Contra Costa,CA,829,622,75,37.8534093,-121.9017954
El Dorado,CA,3,13,0,37.8167564,-96.8869965
Fresno,CA,4527,4296,94.9,36.7377981,-119.7871247
Glenn,CA,0,65,0,33.7570198,-84.3930412
Humboldt,CA,0,2,0,40.7450055,-123.8695086
Imperial,CA,1583,142,9,36.185074,-95.870191
Inyo,CA,1,1,0,36.3091865,-117.5495846
Kern,CA,756,187,24.7,35.4937274,-118.8596804
Kings,CA,508,209,41.1,37.919235,-95.408867
Lake,CA,1,0,0,37.1628255,-95.6911623
Los Angeles,CA,36866,17182,46.6,34.0522342,-118.2436849
Madera,CA,170,161,97.4,36.9613356,-120.0607176
Marin,CA,150,32,21.3,38.083403,-122.7633036
Mendocino,CA,53,6,0,39.3076744,-123.7994591
Merced,CA,715,432,60.4,37.3021632,-120.4829677
Modoc,CA,4,19,0,41.4565165,-120.629366
Monterey,CA,2247,616,27.4,36.6002378,-121.8946761
Napa,CA,54,52,0,36.7567292,-95.9373265
Nevada,CA,0,54,0,38.8026097,-116.419389
Orange,CA,1855,572,30.8,33.7879139,-117.8531007
Placer,CA,1637,1057,64.6,39.0915751,-120.8039474
Plumas,CA,1,0,0,39.9926832,-120.8039474
Riverside,CA,552,397,71.9,33.9806005,-117.3754942
Sacramento,CA,6764,4304,63.6,38.5815719,-121.4943996
San Benito,CA,526,118,22.4,26.132576,-97.6311006
San Bernardino,CA,346,188,54.3,34.1083449,-117.2897652
San Diego,CA,2076,934,45,32.715738,-117.1610838
San Francisco,CA,5280,3280,62.1,37.7749295,-122.4194155
San Joaquin,CA,4484,2858,63.7,37.9175935,-121.1710389
San Luis Obispo,CA,925,154,16.6,35.2827524,-120.6596156
San Mateo,CA,1218,661,54.3,37.5629917,-122.3255254
Santa Barbara,CA,2187,834,38.1,34.4208305,-119.6981901
Santa Clara,CA,4049,3418,84.4,37.3541079,-121.9552356
Santa Cruz,CA,1301,434,33.4,36.9741171,-122.0307963
Shasta,CA,2,41,0,40.7908864,-121.8474493
Siskiyou,CA,7,67,0,41.7743261,-122.5770126
Solano,CA,906,178,19.6,38.3104969,-121.9017954
Sonoma,CA,758,395,52.1,38.291859,-122.4580356
Stanislaus,CA,369,198,53.7,37.5090711,-120.9876321
Sutter,CA,423,91,21.5,38.9357576,-94.7433978
Tehama,CA,38,8,0,40.0271015,-122.1233228
Tulare,CA,1812,788,43.5,36.2077288,-119.3473379
Tuolumne,CA,0,6,0,38.029655,-119.9740534
Ventura,CA,672,185,27.5,34.2804923,-119.2945199
Yolo,CA,1087,213,19.6,26.1196393,-80.1397279
Yuba,CA,429,276,64.3,39.2547027,-73.990051
Clackamas,OR,163,56,34.4,45.4076205,-122.5703692
Clatsop,OR,98,2,0,46.0210796,-123.7653042
Columbia,OR,38,0,0,35.4611664,-97.6502456
Deschutes,OR,14,0,0,37.2705897,-79.9393534
Hood River,OR,462,186,40.3,45.7067985,-121.528087
Jackson,OR,41,8,0,32.2987573,-90.1848103
Jefferson,OR,12,12,0,37.1095843,-95.7625713
Josephine,OR,0,17,0,36.1267656,-86.7890555
Klamath,OR,1,126,0,41.5265092,-124.0384069
Lane,OR,1,1,0,37.2248658,-95.7064842
Lincoln,OR,4,2,0,35.949526,-94.4235482
Linn,OR,4,0,0,38.4858749,-91.8504515
Marion,OR,193,26,13.5,35.6840131,-82.0092745
Multnomah,OR,2390,1029,43.1,45.5145659,-122.5863211
Polk,OR,28,5,0,27.8617347,-81.6911559
Sherman,OR,3,0,0,33.6356618,-96.6088805
Wasco,OR,82,2,0,35.5941238,-119.3409457
Washington,OR,245,18,7.3,47.7510741,-120.7401385
Yamhill,OR,65,4,0,45.3415045,-123.1878238
Benton,WA,69,0,0,34.5645371,-92.586828
Chelan,WA,26,12,0,47.8408323,-120.0168079
Clallam,WA,17,0,0,48.0405122,-124.016766
Clark,WA,110,22,20,37.223312,-95.7021936
Grays Harbor,WA,2,6,0,46.9953526,-123.7012468
Jefferson,WA,37,14,0,37.1095843,-95.7625713
King,WA,9863,3411,34.6,37.0373074,-95.6163664
Kitsap,WA,345,75,21.7,47.6476607,-122.6412583
Kittitas,WA,9,0,0,46.9831822,-120.4170102
Klickitat,WA,121,37,30.6,45.8170668,-121.1525716
Lewis,WA,62,13,0,37.2255965,-95.7162345
Mason,WA,23,8,0,39.3600586,-84.309939
Okanogan,WA,0,5,0,48.361262,-119.5833869
Pacific,WA,94,2,0,-8.783195,-124.508523
Pierce,WA,2050,292,14.2,34.1844597,-118.5791524
San Juan,WA,2,0,0,18.4655394,-66.1057355
Skagit,WA,66,7,0,48.4241961,-121.7114362
Skamania,WA,4,0,0,45.6176095,-122.0488678
Snohomish,WA,57,2,0,47.9128756,-122.0981847
Thurston,WA,90,20,0,46.8645747,-122.7695986
Whatcom,WA,28,5,0,48.7946887,-122.4927431
Yakima,WA,814,108,13.3,46.6020711,-120.5058987